timestamp, memory.used [MiB]
2025/10/28 06:45:57.029, 271 MiB
2025/10/28 06:46:57.028, 271 MiB
2025/10/28 06:46:57.028, 279 MiB
2025/10/28 06:46:57.029, 389 MiB
2025/10/28 06:46:57.029, 281 MiB
2025/10/28 06:46:57.029, 277 MiB
2025/10/28 06:46:57.029, 275 MiB
2025/10/28 06:46:57.029, 313 MiB
2025/10/28 06:46:57.029, 271 MiB
2025/10/28 06:47:57.029, 271 MiB
2025/10/28 06:47:57.029, 279 MiB
2025/10/28 06:47:57.029, 389 MiB
2025/10/28 06:47:57.029, 281 MiB
2025/10/28 06:47:57.029, 277 MiB
2025/10/28 06:47:57.029, 275 MiB
2025/10/28 06:47:57.029, 313 MiB
2025/10/28 06:47:57.029, 271 MiB
2025/10/28 06:48:57.028, 271 MiB
2025/10/28 06:48:57.028, 279 MiB
2025/10/28 06:48:57.028, 389 MiB
2025/10/28 06:48:57.028, 281 MiB
2025/10/28 06:48:57.029, 277 MiB
2025/10/28 06:48:57.029, 275 MiB
2025/10/28 06:48:57.029, 313 MiB
2025/10/28 06:48:57.029, 271 MiB
2025/10/28 06:49:57.028, 271 MiB
2025/10/28 06:49:57.028, 279 MiB
2025/10/28 06:49:57.028, 389 MiB
2025/10/28 06:49:57.028, 281 MiB
2025/10/28 06:49:57.028, 277 MiB
2025/10/28 06:49:57.029, 275 MiB
